code,api_url,name,start_urls,model,id,is_fixed,page,url_xpath,titles_xpath,dates_xpath,authors_xpath,references_xpath,in_date_xpath,drop
main,/notice/main,강원대-메인공지,https://www.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=37,Main,nttNo,"//*[@id=""board""]/table/tbody/tr/td[1]/strong",pageIndex,"//*[@id=""board""]/table/tbody/tr/td[3]/a","//*[@id=""board""]/table/tbody/tr/td[3]/a//text()","//*[@id=""board""]/table/tbody/tr/td[6]//text()","//*[@id=""board""]/table/tbody/tr/td[4]//text()","//*[@id=""board""]/table/tbody/tr/td[2]//text()",null,0
cse,/notice/cse,컴퓨터공학과,https://cse.kangwon.ac.kr/index.php?mt=page&mp=5_1_1,Cse,BID,"//*[@id=""bbsWrap""]/table/tbody/tr/td[1]/img",cpage,"//*[@id=""bbsWrap""]/table/tbody/tr/td[2]/a","//*[@id=""bbsWrap""]/table/tbody/tr/td[2]/a//text()","//*[@id=""bbsWrap""]/table/tbody/tr/td[4]//text()","//*[@id=""bbsWrap""]/table/tbody/tr/td[3]//text()",null,null,0
cba,/notice/cba,경영대학,https://cba.kangwon.ac.kr/cba/community/notice.do?articleLimit=20&article.offset=%d,Cba,articleNo,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr[1]/td[1],offset,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[2]/div/a,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text(),//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[4]//text(),//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[3]//text(),null,null,0
biz,/notice/biz,경영학과,https://biz.kangwon.ac.kr/biz/community/notice.do?articleLimit=20&article.offset=%d,Biz,articleNo,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr[1]/td[1],offset,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[2]/div/a,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text(),//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[4]//text(),//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[3]//text(),null,null,0
account,/notice/account,회계학과,https://account.kangwon.ac.kr/account/community/notice.do?mode=list&articleLimit=20&article.offset=%d,Account,articleNo,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[1]",offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
economics,/notice/economics,경제학과,https://economics.kangwon.ac.kr/economics/community/notice.do?articleLimit=20&article.offset=%d,Economics,articleNo,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr[1]/td[1],offset,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[2]/div/a,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text(),//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[4]//text(),//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[3]//text(),null,null,0
statistics,/notice/statistics,정보통계학과,https://statistics.kangwon.ac.kr/statistics/community/notice.do?articleLimit=20&article.offset=%d,Statistics,articleNo,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr[1]/td[1],offset,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[2]/div/a,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text(),//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[4]//text(),//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[3]//text(),null,null,0
tourism,/notice/tourism,관광경영학과,https://tourism.kangwon.ac.kr/tourism/community/notice.do?articleLimit=20&article.offset=%d,Tourism,articleNo,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr[1]/td[1],offset,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[2]/div/a,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text(),//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[4]//text(),//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[3]//text(),null,null,0
itb,/notice/itb,국제무역학과,https://itb.kangwon.ac.kr/trade/community/notice.do?articleLimit=20&article.offset=%d,Itb,articleNo,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr[1]/td[1],offset,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[2]/div/a,//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text(),//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[4]//text(),//*[@id="cms-content"]/div/div/div[2]/table/tbody/tr/td[3]//text(),null,null,0
knucals,/notice/knucals,농업생명과학대학,https://knucals.kangwon.ac.kr/knucals/community/notice.do?articleLimit=20&article.offset=%d,Knucals,articleNo,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr[1]/td[1]",offset,"//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[2]/div/a//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[4]//text()","//*[@id=""cms-content""]/div/div/div[2]/table/tbody/tr/td[3]//text()",null,null,0
